TOMAS-CARBONELL,TIM-MAYOTTE
THOMAS-HOGSTEDT,DARREN-CAHILL
BRAD-PEARCE,WALLY-MASUR
GARY-MULLER,LUIS-HERRERA
SCOTT-DAVIS,KEVIN-CURREN
JIM-GRABB,DAN-GOLDIE
VELI-PALOHEIMO,MARK-KRATZMANN
AKI-RAHUNEN,RAMESH-KRISHNAN
RICK-LEACH,ALEXANDER-MRONZ
PAUL-CHAMBERLIN,DAVID-PATE
BRIAN-GARROW,GUILLAUME-RAOUX
MARCOS-ONDRUSKA,UDO-RIGLEWSKI
ANDREI-CHERKASOV,GUY-FORGET
BORIS-BECKER,ANDREI-CHERKASOV
STEFAN-EDBERG,GUY-FORGET
MICHAEL-CHANG,BORIS-BECKER
JAKOB-HLASEK,STEFAN-EDBERG
MARC-ROSSET,GUY-FORGET
ANDREI-CHESNOKOV,ANDREI-CHERKASOV
ERIC-JELEN,BORIS-BECKER
PAT-CASH,STEFAN-EDBERG
EDUARDO-MASSO,GUY-FORGET
GORAN-PRPIC,ANDREI-CHESNOKOV
ARNAUD-BOETSCH,MICHAEL-CHANG
MATS-WILANDER,JAKOB-HLASEK
CHRISTIAN-SACEANU,ANDREI-CHERKASOV
RONALD-AGENOR,MARC-ROSSET
ALEXANDER-VOLKOV,BORIS-BECKER
MAGNUS-GUSTAFSSON,STEFAN-EDBERG
ANDRE-AGASSI,CHRISTIAN-SACEANU
AMOS-MANSDORF,GUY-FORGET
JONAS-SVENSSON,MARC-ROSSET
CHRISTIAN-BERGSTROM,ANDREI-CHESNOKOV
TODD-WOODBRIDGE,MICHAEL-CHANG
MAGNUS-LARSSON,JAKOB-HLASEK
CARL-UWE-STEEB,RONALD-AGENOR
HORST-SKOFF,ARNAUD-BOETSCH
KAREL-NOVACEK,PAT-CASH
JUAN-AGUILERA,ANDREI-CHERKASOV
SLAVA-DOSEDEL,ERIC-JELEN
RICHARD-FROMBERG,EDUARDO-MASSO
HENRI-LECONTE,GORAN-PRPIC
OMAR-CAMPORESE,MATS-WILANDER
PETE-SAMPRAS,IVAN-LENDL
BRAD-GILBERT,IVAN-LENDL
JOHN-MCENROE,PETE-SAMPRAS
MICHAEL-STICH,IVAN-LENDL
PETR-KORDA,PETE-SAMPRAS
KEVIN-CURREN,BRAD-GILBERT
AKI-RAHUNEN,JOHN-MCENROE
GARY-MULLER,IVAN-LENDL
MALIVAI-WASHINGTON,PETE-SAMPRAS
PAUL-HAARHUIS,BRAD-GILBERT
WALLY-MASUR,JOHN-MCENROE
CHUCK-ADAMS,MICHAEL-STICH
WAYNE-FERREIRA,PETR-KORDA
DARREN-CAHILL,KEVIN-CURREN
JIM-GRABB,AKI-RAHUNEN
GUILLAUME-RAOUX,IVAN-LENDL
MILAN-SREJBER,PETE-SAMPRAS
TOMAS-CARBONELL,BRAD-GILBERT
ALEXANDER-MRONZ,JOHN-MCENROE
JAY-BERGER,KEVIN-CURREN
JIM-COURIER,JIM-GRABB
CRISTIANO-CARATTI,MICHAEL-STICH
TIM-MAYOTTE,WAYNE-FERREIRA
JAIME-YZAGA,PETR-KORDA
THOMAS-HOGSTEDT,DARREN-CAHILL
MARK-KOEVERMANS,AKI-RAHUNEN
CHRISTO-VAN-RENSBURG,WALLY-MASUR
UDO-RIGLEWSKI,PAUL-HAARHUIS
PATRICK-MCENROE,MALIVAI-WASHINGTON
DERRICK-ROSTAGNO,CHUCK-ADAMS
RENZO-FURLAN,GARY-MULLER
GRANT-STAFFORD,CHUCK-ADAMS
JEFF-TARANGO,CRISTIANO-CARATTI
GILAD-BLOOM,TOMAS-CARBONELL
MARK-KRATZMANN,KEVIN-CURREN
JEAN-PHILIPPE-FLEURIAN,WAYNE-FERREIRA
VELI-PALOHEIMO,RENZO-FURLAN
PATRIK-KUHNEN,JIM-GRABB
RAMESH-KRISHNAN,THOMAS-HOGSTEDT
HORACIO-DE-LA-PENA,ALEXANDER-MRONZ
GRANT-CONNELL,AKI-RAHUNEN
DAN-GOLDIE,GUILLAUME-RAOUX
GLENN-LAYENDECKER,UDO-RIGLEWSKI
SCOTT-DAVIS,MILAN-SREJBER
BRAD-PEARCE,CHRISTO-VAN-RENSBURG
ALEX-ANTONITSCH,MALIVAI-WASHINGTON
ANDERS-JARRYD,JAIME-YZAGA
MICHAEL-STICH,IVAN-LENDL
DERRICK-ROSTAGNO,IVAN-LENDL
MICHAEL-CHANG,MICHAEL-STICH
DARREN-CAHILL,IVAN-LENDL
JEFF-TARANGO,MICHAEL-CHANG
MARK-KOEVERMANS,MICHAEL-STICH
CRISTIANO-CARATTI,DERRICK-ROSTAGNO
PAUL-HAARHUIS,IVAN-LENDL
PETE-SAMPRAS,MARK-KOEVERMANS
GRANT-CONNELL,MICHAEL-CHANG
JIM-COURIER,DERRICK-ROSTAGNO
MATS-WILANDER,MICHAEL-STICH
PATRICK-MCENROE,DARREN-CAHILL
TIM-MAYOTTE,CRISTIANO-CARATTI
WALLY-MASUR,JEFF-TARANGO
WAYNE-FERREIRA,IVAN-LENDL
CHRIS-GARNER,PETE-SAMPRAS
ANDRES-GOMEZ,TIM-MAYOTTE
JEAN-PHILIPPE-FLEURIAN,MICHAEL-CHANG
KEVIN-CURREN,JIM-COURIER
ALEX-ANTONITSCH,MICHAEL-STICH
BRIAN-GARROW,DARREN-CAHILL
PETR-KORDA,PATRICK-MCENROE
DAVID-WHEATON,MATS-WILANDER
MARK-KRATZMANN,DERRICK-ROSTAGNO
LUIZ-MATTAR,GRANT-CONNELL
GUILLAUME-RAOUX,CRISTIANO-CARATTI
DAN-GOLDIE,WALLY-MASUR
GILAD-BLOOM,MARK-KOEVERMANS
GARY-MULLER,PAUL-HAARHUIS
AKI-RAHUNEN,JEFF-TARANGO
TOMAS-CARBONELL,ALEX-ANTONITSCH
CHRISTO-VAN-RENSBURG,GILAD-BLOOM
SCOTT-DAVIS,GRANT-CONNELL
VELI-PALOHEIMO,KEVIN-CURREN
LUIS-HERRERA,WAYNE-FERREIRA
JIM-GRABB,JEAN-PHILIPPE-FLEURIAN
BRAD-PEARCE,CHRIS-GARNER
RAMESH-KRISHNAN,BRIAN-GARROW
JAIME-YZAGA,DAN-GOLDIE
MARCELO-FILIPPINI,MARK-KRATZMANN
PETER-LUNDGREN,TIM-MAYOTTE
HORACIO-DE-LA-PENA,PATRICK-MCENROE
JIMMY-ARIAS,GARY-MULLER
RICHARD-SCHMIDT,AKI-RAHUNEN
RENZO-FURLAN,GUILLAUME-RAOUX
MARCOS-ONDRUSKA,MATS-WILANDER
JONAS-SVENSSON,STEFAN-EDBERG
JAN-SIEMERINK,STEFAN-EDBERG
GUY-FORGET,JONAS-SVENSSON
MAGNUS-GUSTAFSSON,STEFAN-EDBERG
GORAN-IVANISEVIC,GUY-FORGET
KAREL-NOVACEK,JONAS-SVENSSON
ANDREI-CHERKASOV,JAN-SIEMERINK
OMAR-CAMPORESE,STEFAN-EDBERG
ERIC-JELEN,GORAN-IVANISEVIC
EMILIO-SANCHEZ,ANDREI-CHERKASOV
JAKOB-HLASEK,GUY-FORGET
PATRICK-BAUR,JONAS-SVENSSON
ANDREI-CHESNOKOV,MAGNUS-GUSTAFSSON
CHRISTIAN-BERGSTROM,KAREL-NOVACEK
SERGI-BRUGUERA,JAN-SIEMERINK
MARKUS-ZOECKE,STEFAN-EDBERG
ALEXANDER-VOLKOV,GORAN-IVANISEVIC
THOMAS-MUSTER,SERGI-BRUGUERA
AMOS-MANSDORF,EMILIO-SANCHEZ
JUAN-AGUILERA,GUY-FORGET
RICHARD-FROMBERG,JONAS-SVENSSON
MAGNUS-LARSSON,ANDREI-CHESNOKOV
NICKLAS-KULTI,PATRICK-BAUR
JAN-GUNNARSSON,CHRISTIAN-BERGSTROM
RONALD-AGENOR,OMAR-CAMPORESE
PATRIK-KUHNEN,ANDREI-CHERKASOV
MARC-ROSSET,MAGNUS-GUSTAFSSON
SLOBODAN-ZIVOJINOVIC,JAKOB-HLASEK
CARL-UWE-STEEB,ERIC-JELEN
JORDI-ARRESE,KAREL-NOVACEK
HORST-SKOFF,JAN-SIEMERINK
PATRICK-MCENROE,JOHN-MCENROE
MALIVAI-WASHINGTON,JOHN-MCENROE
GRANT-CONNELL,PATRICK-MCENROE
ALEXANDER-MRONZ,JOHN-MCENROE
RICHEY-RENEBERG,PATRICK-MCENROE
JAIME-YZAGA,GRANT-CONNELL
UDO-RIGLEWSKI,MALIVAI-WASHINGTON
RAMESH-KRISHNAN,JOHN-MCENROE
DAVID-PATE,RICHEY-RENEBERG
PETR-KORDA,MALIVAI-WASHINGTON
LUIZ-MATTAR,GRANT-CONNELL
KEVIN-CURREN,JAIME-YZAGA
NICOLAS-PEREIRA,PATRICK-MCENROE
GARY-MULLER,ALEXANDER-MRONZ
VELI-PALOHEIMO,UDO-RIGLEWSKI
GILAD-BLOOM,JOHN-MCENROE
TODD-MARTIN,RICHEY-RENEBERG
PETER-LUNDGREN,PETR-KORDA
GRANT-STAFFORD,LUIZ-MATTAR
MARCELO-FILIPPINI,VELI-PALOHEIMO
TOMAS-CARBONELL,KEVIN-CURREN
BRAD-PEARCE,PATRICK-MCENROE
JEAN-PHILIPPE-FLEURIAN,GARY-MULLER
JIM-GRABB,GRANT-CONNELL
AKI-RAHUNEN,RAMESH-KRISHNAN
MICHAEL-ROBERTSON,ALEXANDER-MRONZ
LUIS-HERRERA,DAVID-PATE
KEN-FLACH,NICOLAS-PEREIRA
SCOTT-DAVIS,UDO-RIGLEWSKI
MARIAN-VAJDA,MALIVAI-WASHINGTON
JIMMY-CONNORS,JAIME-YZAGA
IVAN-LENDL,OMAR-CAMPORESE
ANDERS-JARRYD,IVAN-LENDL
PAUL-HAARHUIS,OMAR-CAMPORESE
JAKOB-HLASEK,IVAN-LENDL
KAREL-NOVACEK,OMAR-CAMPORESE
CHRISTIAN-BERGSTROM,PAUL-HAARHUIS
JAN-SIEMERINK,ANDERS-JARRYD
NICKLAS-KULTI,IVAN-LENDL
EMILIO-SANCHEZ,ANDERS-JARRYD
ANDREI-CHESNOKOV,JAN-SIEMERINK
SLAVA-DOSEDEL,JAKOB-HLASEK
JAVIER-SANCHEZ,KAREL-NOVACEK
MAGNUS-LARSSON,CHRISTIAN-BERGSTROM
ALEX-ANTONITSCH,OMAR-CAMPORESE
MAGNUS-GUSTAFSSON,PAUL-HAARHUIS
TOM-NIJSSEN,IVAN-LENDL
THOMAS-MUSTER,ALEX-ANTONITSCH
LIBOR-PIMEK,EMILIO-SANCHEZ
GORAN-IVANISEVIC,CHRISTIAN-BERGSTROM
RICHARD-KRAJICEK,ANDREI-CHESNOKOV
JONAS-SVENSSON,PAUL-HAARHUIS
PAT-CASH,JAKOB-HLASEK
RONALD-AGENOR,KAREL-NOVACEK
ERIC-JELEN,OMAR-CAMPORESE
HENRI-LECONTE,SLAVA-DOSEDEL
JORDI-ARRESE,MAGNUS-GUSTAFSSON
AMOS-MANSDORF,ANDERS-JARRYD
CHRISTIAN-SACEANU,NICKLAS-KULTI
MICHIEL-SCHAPERS,MAGNUS-LARSSON
TODD-WOODBRIDGE,JAVIER-SANCHEZ
MARK-KOEVERMANS,JAN-SIEMERINK
ANDERS-JARRYD,JONAS-SVENSSON
JAKOB-HLASEK,JONAS-SVENSSON
TODD-WOODBRIDGE,ANDERS-JARRYD
